iter	Passed	Remaining
0	145	145190
1	146	73322
2	147	49155
3	148	37075
4	149	29822
5	150	24969
6	151	21495
7	152	18882
8	153	16859
9	154	15247
10	154	13927
11	155	12824
12	156	11880
13	157	11069
14	157	10367
15	158	9754
16	159	9214
17	160	8754
18	161	8348
19	162	7961
20	163	7614
21	164	7301
22	165	7015
23	166	6753
24	166	6510
25	167	6282
26	168	6077
27	169	5884
28	170	5702
29	171	5530
30	171	5367
31	172	5218
32	173	5076
33	173	4943
34	175	4832
35	176	4722
36	177	4626
37	178	4526
38	179	4428
39	180	4337
40	181	4250
41	182	4169
42	183	4091
43	185	4020
44	186	3948
45	186	3876
46	187	3809
47	190	3775
48	192	3737
49	193	3684
50	195	3629
51	196	3574
52	197	3525
53	198	3476
54	199	3426
55	200	3378
56	201	3336
57	202	3294
58	204	3258
59	205	3223
60	206	3181
61	207	3144
62	208	3107
63	209	3070
64	210	3033
65	211	2999
66	212	2965
67	214	2938
68	215	2909
69	216	2876
70	217	2845
71	219	2826
72	220	2803
73	221	2777
74	223	2752
75	224	2730
76	225	2703
77	226	2677
78	227	2656
79	229	2638
80	231	2623
81	234	2630
82	235	2604
83	236	2582
84	238	2567
85	241	2561
86	242	2549
87	244	2530
88	246	2523
89	257	2600
90	258	2581
91	261	2577
92	262	2563
93	267	2574
94	268	2556
95	270	2544
96	277	2587
97	279	2571
98	280	2554
99	283	2554
100	285	2539
101	288	2541
102	291	2537
103	295	2548
104	297	2533
105	299	2523
106	302	2527
107	304	2512
108	306	2506
109	308	2493
110	309	2478
111	312	2476
112	313	2463
113	315	2452
114	317	2440
115	318	2428
116	319	2412
117	320	2397
118	321	2381
119	322	2367
120	324	2357
121	326	2348
122	327	2335
123	329	2328
124	331	2320
125	332	2306
126	333	2291
127	334	2277
128	335	2264
129	336	2253
130	339	2250
131	340	2240
132	341	2229
133	344	2223
134	345	2215
135	347	2204
136	348	2194
137	349	2185
138	354	2194
139	356	2189
140	358	2184
141	360	2176
142	361	2167
143	362	2157
144	363	2145
145	364	2134
146	365	2123
147	367	2115
148	368	2105
149	369	2095
150	371	2088
151	374	2086
152	375	2080
153	377	2072
154	379	2066
155	380	2060
156	382	2056
157	384	2048
158	386	2043
159	389	2045
160	391	2038
161	393	2033
162	396	2037
163	398	2031
164	400	2024
165	403	2024
166	405	2023
167	407	2018
168	408	2010
169	409	2000
170	410	1990
171	411	1981
172	412	1973
173	414	1966
174	415	1959
175	416	1951
176	417	1943
177	418	1934
